T_pre,T_post,ManufacturingTime,C_dia
0.000000,287.350000,0.002000,nan
0.000000,287.450000,0.002000,nan
0.000000,287.550000,0.002000,nan
0.000000,287.650000,0.002000,nan
0.000000,287.750000,0.002000,nan
0.000000,287.850000,0.002000,nan
0.000000,287.950000,0.002000,nan
0.000000,288.050000,0.002000,nan
0.000000,288.150000,0.002000,nan
0.000000,288.250000,0.002000,nan
0.000000,288.350000,0.002000,nan
0.000000,288.450000,0.002000,nan
0.000000,288.550000,0.002000,nan
0.000000,288.650000,0.002000,nan
0.000000,288.750000,0.002000,nan
0.000000,288.850000,0.002000,nan
0.000000,288.950000,0.002000,nan
0.000000,289.050000,0.002000,nan
0.000000,289.150000,0.002000,nan
0.000000,289.250000,0.002000,nan
0.000000,289.350000,0.002000,nan
0.000000,289.450000,0.002000,nan
0.000000,289.550000,0.002000,nan
0.000000,289.650000,0.002000,nan
0.000000,289.750000,0.002000,nan
0.000000,289.850000,0.002000,nan
0.000000,0.000000,0.002000,nan
0.000000,289.950000,0.002000,nan
0.000000,290.050000,0.002000,nan
0.000000,290.150000,0.002000,nan
0.000000,290.250000,0.002000,nan
0.000000,290.350000,0.002000,nan
0.000000,290.450000,0.002000,nan
0.000000,290.550000,0.002000,nan
0.000000,290.650000,0.002000,nan
0.000000,290.750000,0.002000,nan
0.000000,290.850000,0.002000,nan
0.000000,290.950000,0.002000,nan
0.000000,291.050000,0.002000,nan
0.000000,0.000000,0.002000,nan
289.950000,286.250000,66.989000,1.294558
289.950000,286.350000,66.121000,1.327007
289.950000,286.450000,65.260000,1.359703
289.950000,286.550000,64.407000,1.392610
289.950000,286.650000,63.561000,1.425745
289.950000,286.750000,62.723000,1.459070
289.950000,286.850000,61.893000,1.492571
289.950000,286.950000,61.072000,1.526208
289.950000,287.050000,60.259000,1.559994
289.950000,287.150000,59.455000,1.593886
289.950000,287.250000,58.660000,1.627869
289.950000,287.350000,57.874000,1.661925
289.950000,0.000000,12.684000,nan
289.950000,0.000000,12.684000,nan
290.050000,286.250000,66.826000,1.296652
290.050000,286.350000,65.958000,1.329144
290.050000,286.450000,65.096000,1.361913
290.050000,286.550000,64.242000,1.394893
